projectID,SubjectID,BehaveType,DateRange,DissectionTime,Trial Start,Trial End,tankID,RunAnalysis,StartingFiles,Prep,Depth,Cluster,ClusterClassification,TrackFish,Summary,AddFishSex,AssociateClustersWithSex,AssociateClustersWithTracks,VideoIDs,VideoIDs new,Notes
MC_s15_tr1_BowerBuilding,MC_s15,B,"""1-2""",8/9/23 12:50,,,t051,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"VideoIndices: 113,114,115,116",,
MC_s15_tr2_BowerBuilding,MC_s15,B,"""1-2""",8/9/23 12:50,8/8/23,8/9/23,t051,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"VideoIndices:0,1","VideoIndices: 0,1",
MC_s34_tr1_BowerBuilding,MC_s34,B,"""1-2""",9/18/23 11:58,9/16/23,9/18/23,t033,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"VideoIndices: 13,14,15,16,17,18,19,20,21,22,23,24","VideoIndices: 22,23,24",
MC_s10_tr1_BowerBuilding,MC_s10,C,"""1-2""",2/15/23 12:12,,,t021,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"VideoIndices: 5,6,7,8,9",,
MC_s10_tr2_BowerBuilding,MC_s10,C,"""1-2""",2/15/23 12:12,2/13/23,2/15/23,t021,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"VideoIndices: 0,1,2,3,4,5","VideoIndices: 3,4,5",
MC_s32_tr1_BowerBuilding,MC_s32,C,"""1-2""",8/31/23 11:27,,,t051,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"VideoIndices: 6,7,8,9,10,11,12,13,14,15",,
MC_s28_tr2_BowerBuilding,MC_s28,B,"""10-12""",8/31/23 11:58,8/21/23,8/31/23,t039,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"VideoIndices: 0,1,2,3,4,5,6,7,8,9,10","VideoIndices: 0,1,2,3,4,5,6,7,8,9,10",
MC_s4_tr2_BowerBuilding,MC_s4,B,"""10-12""",3/20/23 12:05,,,t039,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"VideoIndices: 25,26,27,28,29,30,31,32,33,34,35,36",,
MC_s33_tr1_BowerBuilding,MC_s33,C,"""10-12""",9/26/23 11:02,,,t029,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,VideoIndices: 21,,
MC_s25_tr1_BowerBuilding,MC_s25,B,"""2-4""",7/12/23 13:03,7/9/23,7/12/23,t039,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"VideoIndices: 23,24,25,26,27,28,29,30,31,32,33","VideoIndices: 30,31,32,33",
