MasterStart: System: bt-t021,,Device: realsense,,Camera: True,,Uname: uname_result(system='Linux', node='bt-t021', release='5.10.103-v7l+', version='#1529 SMP Tue Mar 8 12:24:00 GMT 2022', machine='armv7l', processor=''),,TankID: t021,,ProjectID: MC_s10_tr2_BowerBuilding,,AnalysisID: MC_multi
MasterRecordInitialStart: Time: 2023-02-10 12:12:21.692143
PrepFiles: FirstDepth: PrepFiles/FirstDepth.npy,,LastDepth: PrepFiles/LastDepth.npy,,PiCameraRGB: PiCameraRGB.jpg,,DepthRGB: DepthRGB.jpg
PiCameraSettings: AWB_Gains: (Fraction(231, 128), Fraction(391, 256)),,AWB_Mode: auto,,AnalogGain: 1111/256,,Brightness: 50,,ClockMode: reset,,Contrast: 0,,Crop: (0.0, 0.0, 1.0, 1.0),,DigitalGain: 129/128,,ExposureCompensation: 0,,ExposureMode: auto,,ExposureSpeed: 33243,,FrameRate: 30,,ImageDenoise: True,,MeterMode: average,,RawFormat: yuv,,Resolution: 1296x972,,Saturation: 0,,SensorMode: 0,,Sharpness: 0,,ShutterSpeed: 0,,VideoDenoise: True,,VideoStabilization: False
DiagnoseSpeed: Rate: 5.5
FirstFrameCaptured: FirstFrame: Frames/FirstFrame.npy,,GoodDataCount: Frames/FirstDataCount.npy,,StdevCount: Frames/StdevCount.npy,,Units: cm
PiCameraStarted: FrameRate: 30,,Resolution: 1296x972,,Time: 2023-02-10 12:12:44.662731,,VideoFile: Videos/0001_vid.h264,,PicFile: Videos/0001_pic.jpg
FrameCaptured: NpyFile: Frames/Frame_000001.npy,,PicFile: Frames/Frame_000001.jpg,,Time: 2023-02-10 12:17:44.362273,,NFrames: 31,,AvgMed: 53.86,,AvgStd: 0.07,,GP: 301774,,AllPixelsBad: 3312528,,AllPixelsGood: 8975472,,LOF: True,,Temperature: 69.14,,HardDriveUsage: 0.0,,CPUUsage: 0.3,,RAMUsage: 11.0
FrameCaptured: NpyFile: Frames/Frame_000002.npy,,PicFile: Frames/Frame_000002.jpg,,Time: 2023-02-10 12:22:44.362273,,NFrames: 29,,AvgMed: 53.81,,AvgStd: 0.07,,GP: 301713,,AllPixelsBad: 3916432,,AllPixelsGood: 8371568,,LOF: True,,Temperature: 70.114,,HardDriveUsage: 0.1,,CPUUsage: 21.9,,RAMUsage: 11.3
FrameCaptured: NpyFile: Frames/Frame_000003.npy,,PicFile: Frames/Frame_000003.jpg,,Time: 2023-02-10 12:27:44.362273,,NFrames: 29,,AvgMed: 53.79,,AvgStd: 0.06,,GP: 301533,,AllPixelsBad: 3846631,,AllPixelsGood: 8441369,,LOF: True,,Temperature: 71.088,,HardDriveUsage: 0.1,,CPUUsage: 21.8,,RAMUsage: 11.4
FrameCaptured: NpyFile: Frames/Frame_000004.npy,,PicFile: Frames/Frame_000004.jpg,,Time: 2023-02-10 12:32:44.362273,,NFrames: 30,,AvgMed: 53.77,,AvgStd: 0.06,,GP: 301727,,AllPixelsBad: 3638234,,AllPixelsGood: 8649766,,LOF: True,,Temperature: 71.575,,HardDriveUsage: 0.1,,CPUUsage: 21.6,,RAMUsage: 11.4
FrameCaptured: NpyFile: Frames/Frame_000005.npy,,PicFile: Frames/Frame_000005.jpg,,Time: 2023-02-10 12:37:44.362273,,NFrames: 29,,AvgMed: 53.76,,AvgStd: 0.06,,GP: 301822,,AllPixelsBad: 3905869,,AllPixelsGood: 8382131,,LOF: True,,Temperature: 73.036,,HardDriveUsage: 0.2,,CPUUsage: 21.7,,RAMUsage: 11.5
FrameCaptured: NpyFile: Frames/Frame_000006.npy,,PicFile: Frames/Frame_000006.jpg,,Time: 2023-02-10 12:42:44.362273,,NFrames: 29,,AvgMed: 53.75,,AvgStd: 0.07,,GP: 301959,,AllPixelsBad: 3957219,,AllPixelsGood: 8330781,,LOF: True,,Temperature: 73.036,,HardDriveUsage: 0.2,,CPUUsage: 21.6,,RAMUsage: 11.5
FrameCaptured: NpyFile: Frames/Frame_000007.npy,,PicFile: Frames/Frame_000007.jpg,,Time: 2023-02-10 12:47:44.362273,,NFrames: 30,,AvgMed: 53.75,,AvgStd: 0.06,,GP: 301547,,AllPixelsBad: 3611627,,AllPixelsGood: 8676373,,LOF: True,,Temperature: 73.036,,HardDriveUsage: 0.2,,CPUUsage: 21.5,,RAMUsage: 11.6
FrameCaptured: NpyFile: Frames/Frame_000008.npy,,PicFile: Frames/Frame_000008.jpg,,Time: 2023-02-10 12:52:44.362273,,NFrames: 29,,AvgMed: 53.75,,AvgStd: 0.06,,GP: 301558,,AllPixelsBad: 3891744,,AllPixelsGood: 8396256,,LOF: True,,Temperature: 74.01,,HardDriveUsage: 0.3,,CPUUsage: 21.6,,RAMUsage: 11.8
FrameCaptured: NpyFile: Frames/Frame_000009.npy,,PicFile: Frames/Frame_000009.jpg,,Time: 2023-02-10 12:57:44.362273,,NFrames: 29,,AvgMed: 53.75,,AvgStd: 0.06,,GP: 301789,,AllPixelsBad: 3944578,,AllPixelsGood: 8343422,,LOF: True,,Temperature: 73.523,,HardDriveUsage: 0.3,,CPUUsage: 21.7,,RAMUsage: 11.7
FrameCaptured: NpyFile: Frames/Frame_000010.npy,,PicFile: Frames/Frame_000010.jpg,,Time: 2023-02-10 13:02:44.362273,,NFrames: 30,,AvgMed: 53.74,,AvgStd: 0.06,,GP: 301559,,AllPixelsBad: 3636683,,AllPixelsGood: 8651317,,LOF: True,,Temperature: 73.523,,HardDriveUsage: 0.3,,CPUUsage: 21.7,,RAMUsage: 11.8
FrameCaptured: NpyFile: Frames/Frame_000011.npy,,PicFile: Frames/Frame_000011.jpg,,Time: 2023-02-10 13:07:44.362273,,NFrames: 29,,AvgMed: 53.73,,AvgStd: 0.05,,GP: 301438,,AllPixelsBad: 3889771,,AllPixelsGood: 8398229,,LOF: True,,Temperature: 73.036,,HardDriveUsage: 0.3,,CPUUsage: 21.4,,RAMUsage: 11.7
