MasterStart: System: bt-t051,,Device: realsense,,Camera: True,,Uname: uname_result(system='Linux', node='bt-t051', release='5.10.17-v7l+', version='#1421 SMP Thu May 27 14:00:13 BST 2021', machine='armv7l', processor=''),,TankID: t051,,ProjectID: MC_s15_tr2_BowerBuilding,,AnalysisID: MC_multi
MasterRecordInitialStart: Time: 2023-08-08 16:44:14.836401
PrepFiles: FirstDepth: PrepFiles/FirstDepth.npy,,LastDepth: PrepFiles/LastDepth.npy,,PiCameraRGB: PiCameraRGB.jpg,,DepthRGB: DepthRGB.jpg
PiCameraSettings: AWB_Gains: (Fraction(443, 256), Fraction(425, 256)),,AWB_Mode: auto,,AnalogGain: 395/128,,Brightness: 50,,ClockMode: reset,,Contrast: 0,,Crop: (0.0, 0.0, 1.0, 1.0),,DigitalGain: 257/256,,ExposureCompensation: 0,,ExposureMode: auto,,ExposureSpeed: 33243,,FrameRate: 30,,ImageDenoise: True,,MeterMode: average,,RawFormat: yuv,,Resolution: 1296x972,,Saturation: 0,,SensorMode: 0,,Sharpness: 0,,ShutterSpeed: 0,,VideoDenoise: True,,VideoStabilization: False
DiagnoseSpeed: Rate: 5.8
FirstFrameCaptured: FirstFrame: Frames/FirstFrame.npy,,GoodDataCount: Frames/FirstDataCount.npy,,StdevCount: Frames/StdevCount.npy,,Units: cm
PiCameraStarted: FrameRate: 30,,Resolution: 1296x972,,Time: 2023-08-08 16:44:37.572506,,VideoFile: Videos/0001_vid.h264,,PicFile: Videos/0001_pic.jpg
FrameCaptured: NpyFile: Frames/Frame_000001.npy,,PicFile: Frames/Frame_000001.jpg,,Time: 2023-08-08 16:49:37.201450,,NFrames: 31,,AvgMed: 52.90,,AvgStd: 0.06,,GP: 275051,,AllPixelsBad: 4198396,,AllPixelsGood: 8089604,,LOF: True,,Temperature: 69.627,,HardDriveUsage: 0.0,,CPUUsage: 20.2,,RAMUsage: 12.0
FrameCaptured: NpyFile: Frames/Frame_000002.npy,,PicFile: Frames/Frame_000002.jpg,,Time: 2023-08-08 16:54:37.201450,,NFrames: 29,,AvgMed: 52.84,,AvgStd: 0.05,,GP: 275211,,AllPixelsBad: 4689329,,AllPixelsGood: 7598671,,LOF: True,,Temperature: 73.036,,HardDriveUsage: 0.1,,CPUUsage: 21.7,,RAMUsage: 12.2
FrameCaptured: NpyFile: Frames/Frame_000003.npy,,PicFile: Frames/Frame_000003.jpg,,Time: 2023-08-08 16:59:37.201450,,NFrames: 29,,AvgMed: 52.80,,AvgStd: 0.05,,GP: 275321,,AllPixelsBad: 4708131,,AllPixelsGood: 7579869,,LOF: True,,Temperature: 73.523,,HardDriveUsage: 0.1,,CPUUsage: 21.5,,RAMUsage: 12.2
FrameCaptured: NpyFile: Frames/Frame_000004.npy,,PicFile: Frames/Frame_000004.jpg,,Time: 2023-08-08 17:04:37.201450,,NFrames: 30,,AvgMed: 52.80,,AvgStd: 0.05,,GP: 275223,,AllPixelsBad: 4421247,,AllPixelsGood: 7866753,,LOF: True,,Temperature: 74.984,,HardDriveUsage: 0.1,,CPUUsage: 21.8,,RAMUsage: 12.3
FrameCaptured: NpyFile: Frames/Frame_000005.npy,,PicFile: Frames/Frame_000005.jpg,,Time: 2023-08-08 17:09:37.201450,,NFrames: 29,,AvgMed: 52.78,,AvgStd: 0.05,,GP: 275469,,AllPixelsBad: 4668064,,AllPixelsGood: 7619936,,LOF: True,,Temperature: 74.01,,HardDriveUsage: 0.2,,CPUUsage: 21.7,,RAMUsage: 12.3
FrameCaptured: NpyFile: Frames/Frame_000006.npy,,PicFile: Frames/Frame_000006.jpg,,Time: 2023-08-08 17:14:37.201450,,NFrames: 29,,AvgMed: 52.77,,AvgStd: 0.05,,GP: 275646,,AllPixelsBad: 4676090,,AllPixelsGood: 7611910,,LOF: True,,Temperature: 74.497,,HardDriveUsage: 0.2,,CPUUsage: 21.7,,RAMUsage: 12.5
FrameCaptured: NpyFile: Frames/Frame_000007.npy,,PicFile: Frames/Frame_000007.jpg,,Time: 2023-08-08 17:19:37.201450,,NFrames: 30,,AvgMed: 52.78,,AvgStd: 0.05,,GP: 275459,,AllPixelsBad: 4389299,,AllPixelsGood: 7898701,,LOF: True,,Temperature: 73.523,,HardDriveUsage: 0.2,,CPUUsage: 21.9,,RAMUsage: 12.5
FrameCaptured: NpyFile: Frames/Frame_000008.npy,,PicFile: Frames/Frame_000008.jpg,,Time: 2023-08-08 17:24:37.201450,,NFrames: 29,,AvgMed: 52.79,,AvgStd: 0.05,,GP: 275458,,AllPixelsBad: 4653704,,AllPixelsGood: 7634296,,LOF: True,,Temperature: 74.497,,HardDriveUsage: 0.3,,CPUUsage: 22.0,,RAMUsage: 12.6
FrameCaptured: NpyFile: Frames/Frame_000009.npy,,PicFile: Frames/Frame_000009.jpg,,Time: 2023-08-08 17:29:37.201450,,NFrames: 29,,AvgMed: 52.81,,AvgStd: 0.05,,GP: 275286,,AllPixelsBad: 4627446,,AllPixelsGood: 7660554,,LOF: True,,Temperature: 74.497,,HardDriveUsage: 0.3,,CPUUsage: 21.9,,RAMUsage: 12.7
FrameCaptured: NpyFile: Frames/Frame_000010.npy,,PicFile: Frames/Frame_000010.jpg,,Time: 2023-08-08 17:34:37.201450,,NFrames: 29,,AvgMed: 52.82,,AvgStd: 0.05,,GP: 275147,,AllPixelsBad: 4632278,,AllPixelsGood: 7655722,,LOF: True,,Temperature: 74.497,,HardDriveUsage: 0.3,,CPUUsage: 21.6,,RAMUsage: 12.7
FrameCaptured: NpyFile: Frames/Frame_000011.npy,,PicFile: Frames/Frame_000011.jpg,,Time: 2023-08-08 17:39:37.201450,,NFrames: 30,,AvgMed: 52.82,,AvgStd: 0.05,,GP: 275282,,AllPixelsBad: 4362256,,AllPixelsGood: 7925744,,LOF: True,,Temperature: 74.01,,HardDriveUsage: 0.3,,CPUUsage: 21.3,,RAMUsage: 12.9
FrameCaptured: NpyFile: Frames/Frame_000012.npy,,PicFile: Frames/Frame_000012.jpg,,Time: 2023-08-08 17:44:37.201450,,NFrames: 29,,AvgMed: 52.82,,AvgStd: 0.05,,GP: 274868,,AllPixelsBad: 4657841,,AllPixelsGood: 7630159,,LOF: True,,Temperature: 74.01,,HardDriveUsage: 0.4,,CPUUsage: 21.7,,RAMUsage: 12.7
