MasterStart: System: bt-t041,,Device: realsense,,Camera: True,,Uname: uname_result(system='Linux', node='bt-t041', release='5.10.103-v7l+', version='#1529 SMP Tue Mar 8 12:24:00 GMT 2022', machine='armv7l', processor=''),,TankID: t041,,ProjectID: MC_s9_tr6_BowerBuilding,,AnalysisID: MC_multi
MasterRecordInitialStart: Time: 2023-08-21 11:16:56.705492
PrepFiles: FirstDepth: PrepFiles/FirstDepth.npy,,LastDepth: PrepFiles/LastDepth.npy,,PiCameraRGB: PiCameraRGB.jpg,,DepthRGB: DepthRGB.jpg
PiCameraSettings: AWB_Gains: (Fraction(435, 256), Fraction(227, 128)),,AWB_Mode: auto,,AnalogGain: 841/256,,Brightness: 50,,ClockMode: reset,,Contrast: 0,,Crop: (0.0, 0.0, 1.0, 1.0),,DigitalGain: 1,,ExposureCompensation: 0,,ExposureMode: auto,,ExposureSpeed: 33243,,FrameRate: 30,,ImageDenoise: True,,MeterMode: average,,RawFormat: yuv,,Resolution: 1296x972,,Saturation: 0,,SensorMode: 0,,Sharpness: 0,,ShutterSpeed: 0,,VideoDenoise: True,,VideoStabilization: False
DiagnoseSpeed: Rate: 5.5
FirstFrameCaptured: FirstFrame: Frames/FirstFrame.npy,,GoodDataCount: Frames/FirstDataCount.npy,,StdevCount: Frames/StdevCount.npy,,Units: cm
PiCameraStarted: FrameRate: 30,,Resolution: 1296x972,,Time: 2023-08-21 11:17:20.126228,,VideoFile: Videos/0001_vid.h264,,PicFile: Videos/0001_pic.jpg
FrameCaptured: NpyFile: Frames/Frame_000001.npy,,PicFile: Frames/Frame_000001.jpg,,Time: 2023-08-21 11:22:19.813862,,NFrames: 31,,AvgMed: 54.81,,AvgStd: 0.07,,GP: 283189,,AllPixelsBad: 3944683,,AllPixelsGood: 8343317,,LOF: True,,Temperature: 66.218,,HardDriveUsage: 0.0,,CPUUsage: 0.2,,RAMUsage: 12.0
FrameCaptured: NpyFile: Frames/Frame_000002.npy,,PicFile: Frames/Frame_000002.jpg,,Time: 2023-08-21 11:27:19.813862,,NFrames: 29,,AvgMed: 54.76,,AvgStd: 0.06,,GP: 282435,,AllPixelsBad: 4469916,,AllPixelsGood: 7818084,,LOF: True,,Temperature: 67.192,,HardDriveUsage: 0.1,,CPUUsage: 22.2,,RAMUsage: 12.2
FrameCaptured: NpyFile: Frames/Frame_000003.npy,,PicFile: Frames/Frame_000003.jpg,,Time: 2023-08-21 11:32:19.813862,,NFrames: 29,,AvgMed: 54.72,,AvgStd: 0.06,,GP: 281919,,AllPixelsBad: 4476951,,AllPixelsGood: 7811049,,LOF: True,,Temperature: 69.14,,HardDriveUsage: 0.1,,CPUUsage: 22.2,,RAMUsage: 12.3
FrameCaptured: NpyFile: Frames/Frame_000004.npy,,PicFile: Frames/Frame_000004.jpg,,Time: 2023-08-21 11:37:19.813862,,NFrames: 30,,AvgMed: 54.67,,AvgStd: 0.06,,GP: 281981,,AllPixelsBad: 4232901,,AllPixelsGood: 8055099,,LOF: True,,Temperature: 69.14,,HardDriveUsage: 0.1,,CPUUsage: 22.1,,RAMUsage: 12.4
FrameCaptured: NpyFile: Frames/Frame_000005.npy,,PicFile: Frames/Frame_000005.jpg,,Time: 2023-08-21 11:42:19.813862,,NFrames: 29,,AvgMed: 54.69,,AvgStd: 0.06,,GP: 281658,,AllPixelsBad: 4520433,,AllPixelsGood: 7767567,,LOF: True,,Temperature: 69.627,,HardDriveUsage: 0.2,,CPUUsage: 22.3,,RAMUsage: 12.4
FrameCaptured: NpyFile: Frames/Frame_000006.npy,,PicFile: Frames/Frame_000006.jpg,,Time: 2023-08-21 11:47:19.813862,,NFrames: 29,,AvgMed: 54.75,,AvgStd: 0.06,,GP: 280721,,AllPixelsBad: 4499333,,AllPixelsGood: 7788667,,LOF: True,,Temperature: 68.653,,HardDriveUsage: 0.2,,CPUUsage: 22.1,,RAMUsage: 12.5
FrameCaptured: NpyFile: Frames/Frame_000007.npy,,PicFile: Frames/Frame_000007.jpg,,Time: 2023-08-21 11:52:19.813862,,NFrames: 29,,AvgMed: 54.76,,AvgStd: 0.06,,GP: 280564,,AllPixelsBad: 4554481,,AllPixelsGood: 7733519,,LOF: True,,Temperature: 69.627,,HardDriveUsage: 0.2,,CPUUsage: 22.3,,RAMUsage: 12.6
FrameCaptured: NpyFile: Frames/Frame_000008.npy,,PicFile: Frames/Frame_000008.jpg,,Time: 2023-08-21 11:57:19.813862,,NFrames: 30,,AvgMed: 54.75,,AvgStd: 0.06,,GP: 280836,,AllPixelsBad: 4274964,,AllPixelsGood: 8013036,,LOF: True,,Temperature: 68.653,,HardDriveUsage: 0.3,,CPUUsage: 22.0,,RAMUsage: 12.6
FrameCaptured: NpyFile: Frames/Frame_000009.npy,,PicFile: Frames/Frame_000009.jpg,,Time: 2023-08-21 12:02:19.813862,,NFrames: 29,,AvgMed: 54.73,,AvgStd: 0.07,,GP: 281081,,AllPixelsBad: 4566426,,AllPixelsGood: 7721574,,LOF: True,,Temperature: 69.627,,HardDriveUsage: 0.3,,CPUUsage: 22.3,,RAMUsage: 12.7
FrameCaptured: NpyFile: Frames/Frame_000010.npy,,PicFile: Frames/Frame_000010.jpg,,Time: 2023-08-21 12:07:19.813862,,NFrames: 29,,AvgMed: 54.73,,AvgStd: 0.06,,GP: 281383,,AllPixelsBad: 4556143,,AllPixelsGood: 7731857,,LOF: True,,Temperature: 69.14,,HardDriveUsage: 0.3,,CPUUsage: 21.8,,RAMUsage: 12.7
FrameCaptured: NpyFile: Frames/Frame_000011.npy,,PicFile: Frames/Frame_000011.jpg,,Time: 2023-08-21 12:12:19.813862,,NFrames: 30,,AvgMed: 54.73,,AvgStd: 0.07,,GP: 282131,,AllPixelsBad: 4268061,,AllPixelsGood: 8019939,,LOF: True,,Temperature: 69.14,,HardDriveUsage: 0.3,,CPUUsage: 21.5,,RAMUsage: 12.7
